
2025/07/21 (10:31:04) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/21 (11:50:53) | WARNING: Failed to join _runner thread on exit!

2025/07/21 (11:50:55) | ===> btop++ v.1.4.0
2025/07/21 (11:50:55) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/21 (11:50:58) | WARNING: Failed to join _runner thread on exit!

2025/07/21 (14:46:11) | ===> btop++ v.1.4.0
2025/07/21 (14:46:11) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/21 (14:46:14) | WARNING: Failed to join _runner thread on exit!

2025/07/22 (13:22:08) | ===> btop++ v.1.4.0
2025/07/22 (13:22:08) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/22 (13:22:48) | WARNING: Failed to join _runner thread on exit!

2025/07/22 (13:23:04) | ===> btop++ v.1.4.0
2025/07/22 (13:23:04) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/22 (13:23:36) | WARNING: Failed to join _runner thread on exit!

2025/07/22 (15:27:35) | ===> btop++ v.1.4.0
2025/07/22 (15:27:35) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/22 (15:27:53) | WARNING: Failed to join _runner thread on exit!

2025/07/22 (15:29:15) | ===> btop++ v.1.4.0
2025/07/22 (15:29:15) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/22 (15:29:32) | WARNING: Failed to join _runner thread on exit!
